Site,Name,Price,RAM,Storage,Url
refurbed.dk,HP Omen 17-db | Ryzen 7 8845HS | 17.3&quot;,10639 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/hp-omen-17-db-r7-8845hs-17-3/
refurbed.dk,Dell Precision 5750 | i7-10875H | 17&quot;,6355 kr.,32.0 GB,1000 GB,https://www.refurbed.dk/p/dell-precision-5750-i7-10875h/
refurbed.dk,Microsoft Surface Pro 4 (2021) | i7-1185G7 | 13.5&quot;,3119 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/microsoft-surface-pro-4-i7-13-5/
refurbed.dk,Microsoft Surface Laptop 4 | i7-1185G7 | 13.5&quot;,2959 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/ms-surface-laptop-4-1185g7-13/
refurbed.dk,Dell Latitude 5430 | i5-1245U | 14&quot;,2759 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/dell-latitude-5430-i5-1245u/
refurbed.dk,Dell Latitude 15 3500 | i5-8265U | 15.6&quot;,4219 kr.,16.0 GB,2000 GB,https://www.refurbed.dk/p/dell-latitude-3500-8265u/
refurbed.dk,HP ProBook 440 G10 | i7-1355U | 14&quot;,6275 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/hp-probook-440-g10-1355u-14/
refurbed.dk,Lenovo ThinkPad P15 G1 | i9-10885H | 15.6&quot;,9635 kr.,32.0 GB,512 GB,https://www.refurbed.dk/p/lenovo-thinkpad-p15-g1-i9-10885h/
refurbed.dk,Dell Latitude 7450 | Core Ultra 5 135U | 14&quot;,6869 kr.,32.0 GB,256 GB,https://www.refurbed.dk/p/dell-latitude-7450-core-5-135u/
refurbed.dk,HP ProBook 440 G11 | Core Ultra 7 155U | 14&quot;,7395 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/hp-probook-440-g11-ultra-7-155u/
refurbed.dk,Dell Precision 7550 | i9-10885H | 15.6&quot;,8965 kr.,32.0 GB,1000 GB,https://www.refurbed.dk/p/dell-precision-7550-i9-10885h/
